data,visitas,vendas_unidades_pagas,cancelamentos_unidades,preco_transacao_observado,preco_anuncio_historico,promocao_ativa_historica,status_historico,frete_gratis_historico,tipo_anuncio_observado,logistica_historica,marcador_inflexao
2026-05-05,38,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-06,37,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-07,26,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-08,20,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-09,39,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-10,40,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-11,34,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-12,46,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-13,60,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-14,53,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-15,55,1,0,158.06,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-05-16,64,0,1,,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-05-17,51,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-18,53,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-19,48,1,0,158.06,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-05-20,66,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-21,69,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-22,75,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-23,66,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-24,58,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-25,53,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-26,40,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-27,36,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-28,28,0,2,,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-05-29,26,2,0,158|158,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-05-30,23,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-31,28,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-01,29,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-02,26,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-03,32,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-04,37,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-05,35,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-06,29,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-07,38,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-08,38,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-09,20,0,1,,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-10,31,1,0,158,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-11,24,2,0,158,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-12,12,1,0,171.53,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-13,20,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-14,20,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
