record_type,signal,source_item_id,source_title,source_status,source_before_visits,source_before_avg_day,source_after_visits,source_after_avg_day,successor_id,successor_status,successor_created_at,successor_after_visits,successor_after_avg_window,successor_first_positive_day,successor_avg_since_first_visit,family_after_avg_day,delta_family_vs_before_avg_day,visits_day_in_play,catalog_product_id,buy_box_status,visit_share,our_price,price_to_win,price_gap_value,price_gap_pct,winner_item_id,winner_seller_id,winner_nickname,our_reputation,winner_reputation,winner_power_seller,total_offers,competitor_offers,missing_boosts,reason,sold_quantity_successor,classification,limitations,priority
catalogo_novo,catalog_listing=true criado desde 15/07,MLB6574414098,Espelho Grande De Parede Para Corpo Inteiro 100x40cm Ofertas Espelho Espelho,active,2491,131.105,138,11.5,MLB7297087912,active,2026-07-30T22:55:18.054Z,47,3.917,2026-07-31,15.667,15.417,-115.689,115.689,MLB76055448,winning,maximum,173.25,173,0.25,0.14,MLB7297087912,3058804121,FACILYTY,5_green,5_green,,1,0,"fulfillment,free_installments,same_day_shipping",,0,novo catálogo ganhando,,1
catalogo_novo,catalog_listing=true criado desde 15/07,MLB6574534100,Espelho Grande De Parede 100x40 Corpo Inteiro Quarto Closet Espelho,active,1283,67.526,1,0.083,MLB7314817026,active,2026-08-02T19:30:32.167Z,2,0.167,2026-08-02,2.0,0.25,-67.276,67.276,MLB70347111,winning,maximum,171.53,171,0.53,0.31,MLB7314817026,3058804121,FACILYTY,5_green,5_green,,2,1,"fulfillment,free_installments,same_day_shipping",,0,novo catálogo ganhando,,2
catalogo_novo,catalog_listing=true criado desde 15/07,MLB6654735702,"Espelho Para Colar Na Porta, Madeira 100x40 Cm Corpo Inteiro Espelho",active,102,5.368,2,0.167,MLB7313976860,active,2026-08-02T19:32:55.157Z,1,0.083,2026-08-02,1.0,0.25,-5.118,5.118,MLB46012032,competing,minimum,195.8,93.31,102.49,109.84,MLB6809277534,2661440705,VIDROBYTELTDA,5_green,5_green,,2,1,"fulfillment,free_installments,same_day_shipping",,0,novo catálogo perdendo,,3
catalogo_novo,catalog_listing=true criado desde 15/07,MLB6654697288,Espelho Decorativo 100x40 Parede Quarto Sala Corpo Inteiro Espelho,active,87,4.579,3,0.25,MLB7313976854,active,2026-08-02T19:32:26.078Z,3,0.25,2026-08-02,3.0,0.5,-4.079,4.079,MLB40341813,competing,minimum,195.8,125,70.8,56.64,MLB3984597627,151300289,WWW.NEWHOMEVIDROSBR.COM.BR,5_green,5_green,gold,5,4,"fulfillment,free_installments,same_day_shipping",,0,novo catálogo perdendo,,4
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574413814,Espelho Corpo Inteiro Parede Loja 100x40 Cm - Oferta Exclusi Botao,inactive,42,2.211,0,0.0,"MLB6654722984,MLB6654697304,MLB4586758693",,,,,,,0.0,-2.211,2.211,MLB53370587,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",5
catalogo_novo,catalog_listing=true criado desde 15/07,MLB6574559704,Decore Com Estilo Espelho 100x40 Cm Para Loja E Quarto Botão Frances,active,24,1.263,41,3.417,MLB7313977102,active,2026-08-02T20:01:07.824Z,0,0.0,,0,3.417,2.154,0,MLB73992067,winning,maximum,176.14,176,0.14,0.08,MLB7313977102,3058804121,FACILYTY,5_green,5_green,,1,0,"fulfillment,free_installments,same_day_shipping",,0,novo catálogo ganhando,,6
catalogo_novo,catalog_listing=true criado desde 15/07,MLB6654685380,Espelho Lapidado 100x40 Fita Dupla Face Sala Quarto Closet Espelho,active,14,0.737,9,0.75,MLB7313976836,under_review,2026-08-02T19:30:04.702Z,0,0.0,,0,0.75,0.013,0,MLB70347111,not_listed,,,,,,,,,5_green,,,2,2,,item_not_opted_in,0,novo catálogo bloqueado/under_review,,7
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB4586760165,Tampa Ralo Grelha Redonda 15 Cm Inox Função Abre / Fecha º Acabamento Cromado,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB23379460,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",8
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB4586779589,Porta Toalha De Rosto De Vidro 8x8cm - 8mm Cor Incolor Incolor,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB27586545,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",9
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB4586780367,Kit 4 Botão Francês Suporte Abs P/ Espelho + Bucha Parafuso Cromado,closed,0,0.0,0,0.0,MLB4646267315,,,,,,,0.0,0.0,0.0,MLB25415254,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",10
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574413712,Ralo Grelha 10x10cm Inox Cromado Home Metais Anti Odor Para Banheiro,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB34854026,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",11
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574414192,Prateleira Vidro Incolor 30x15cm Banheiro Elustre Porta Sha Incolor,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB39766382,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",12
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574426300,Kit 2 Grelhas Ralo Quadrado 15x15 Abre Fecha Anti Odor Inox,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB25198931,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",13
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574427040,Kit 2 Grelhas Ralo Quadrado 15x15 + 2 Porta Grelha Caixilho,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB25548604,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",14
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574439602,Prateleira Porta Shampoo Reto Vidro Incolor 8mm Parede Para,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",15
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574439628,Toalheiro Porta Toalha De Banho Em Vidro - 1 Peça Cor Incol Incolor,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB58868781,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",16
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574452980,Ralo Tampa Grelha Aço Inox Quadrada 9.5cm Com Fecho Rotativo Paradise,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB38715074,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",17
pending_historico,"[""waiting_for_patch""]",MLB6574474638,Polinox Papeleira Porta Papel Higiênico Com Tampa Em Aço In Cinza-escuro,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB29358056,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",18
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574474974,Suporte De Vidro - 50x10cm - Vidro Incolor Prateleira Incol Prateleira Incolor,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB29089991,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",19
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574488400,Espelho Para Quarto Corpo Inteiro 100x40cm + Kit Instalação Botão Frances,closed,0,0.0,0,0.0,"MLB6654723004,MLB6654735704,MLB6574488416",,,,,,,0.0,0.0,0.0,,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",20
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574488416,Espelho Para Quarto Corpo Inteiro 100x40cm + Kit Instalação Fita Dupla Face,closed,0,0.0,0,0.0,"MLB6654723004,MLB6654735704,MLB6574488400",,,,,,,0.0,0.0,0.0,,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",21
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574533960,Espelho Adesivo De Parede Corpo Inteiro 100x40 Loja Quarto Sala Neutro Neutro,closed,0,0.0,0,0.0,"MLB6654697288,MLB7313976854,MLB6654735716",,,,,,,0.0,0.0,0.0,MLB40341813,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",22
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574535112,Botão Frances Espelhos Plastico Pacote Com 20 Unidades Crom Cromado,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,MLB32163070,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",23
pending_historico,"[""waiting_for_patch"", ""deleted""]",MLB6574572760,Porta Papel Higienico Papeleira Inox Universo Das Torneiras Cinza,closed,0,0.0,0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,5_green,,,,,,health/actions não disponível para buy_it_now deletado,,waiting_for_patch legado; não prova migração atual,"17 closed/deleted; 1 inactive; candidatos locais podem ser irmãos antigos, não sucessores",24
