data,MLB6574414098,MLB6574534100,MLB7297087912,MLB7314817026,originais_total,sucessores_total,familia_total,dia_parcial
2026-07-15,69,60,0,0,129,0,129,0
2026-07-16,159,52,0,0,211,0,211,0
2026-07-17,140,66,0,0,206,0,206,0
2026-07-18,150,61,0,0,211,0,211,0
2026-07-19,119,60,0,0,179,0,179,0
2026-07-20,37,105,0,0,142,0,142,0
2026-07-21,14,12,0,0,26,0,26,0
2026-07-22,19,0,0,0,19,0,19,0
2026-07-23,29,0,0,0,29,0,29,0
2026-07-24,10,0,0,0,10,0,10,0
2026-07-25,12,0,0,0,12,0,12,0
2026-07-26,9,0,0,0,9,0,9,0
2026-07-27,21,0,0,0,21,0,21,0
2026-07-28,12,0,0,0,12,0,12,0
2026-07-29,10,0,0,0,10,0,10,0
2026-07-30,10,0,0,0,10,0,10,0
2026-07-31,3,0,9,0,3,9,12,0
2026-08-01,2,0,21,0,2,21,23,0
2026-08-02,1,1,17,2,2,19,21,0
2026-08-03,0,0,1,0,0,1,1,1
